Date,BVN,ETH-USD,GLD,PEN,SCCO
2015-10-20,7.739999771118164,,112.7300033569336,39.58000183105469,28.540000915527344
2015-10-21,7.489999771118164,,111.7300033569336,38.5,28.06999969482422
2015-10-22,7.760000228881836,,111.69000244140625,36.720001220703125,28.440000534057617
2015-10-23,7.949999809265137,,111.5,38.150001525878906,29.0
2015-10-26,7.690000057220459,,111.43000030517578,38.0,28.59000015258789
2015-10-27,7.630000114440918,,111.68000030517578,37.29999923706055,28.15999984741211
2015-10-28,7.429999828338623,,110.77999877929688,36.5,28.06999969482422
2015-10-29,7.010000228881836,,109.72000122070312,37.79199981689453,27.6299991607666
2015-10-30,6.409999847412109,,109.30000305175781,37.029998779296875,27.760000228881836
2015-11-02,6.28000020980835,,108.58999633789062,37.2400016784668,28.040000915527344
2015-11-03,6.409999847412109,,106.9800033569336,37.27000045776367,28.149999618530273
2015-11-04,6.21999979019165,,105.97000122070312,37.029998779296875,27.860000610351562
2015-11-05,5.929999828338623,,105.63999938964844,36.84000015258789,27.610000610351562
2015-11-06,5.570000171661377,,104.0999984741211,37.08000183105469,26.950000762939453
2015-11-09,5.630000114440918,,104.4000015258789,37.91999816894531,26.670000076293945
2015-11-10,5.170000076293945,,104.18000030517578,40.130001068115234,26.799999237060547
2015-11-11,5.21999979019165,,103.83000183105469,40.36000061035156,26.6200008392334
2015-11-12,4.909999847412109,,103.8499984741211,40.27000045776367,26.18000030517578
2015-11-13,4.880000114440918,,103.55999755859375,49.79999923706055,26.100000381469727
2015-11-16,4.940000057220459,,103.70999908447266,49.790000915527344,25.780000686645508
2015-11-17,4.599999904632568,,102.33999633789062,48.2400016784668,25.6200008392334
2015-11-18,4.769999980926514,,102.43000030517578,47.0,26.3700008392334
2015-11-19,4.670000076293945,,103.55999755859375,46.189998626708984,26.75
2015-11-20,4.5,,103.08999633789062,45.97999954223633,27.34000015258789
2015-11-23,4.550000190734863,,102.26000213623047,47.869998931884766,26.0
2015-11-24,4.75,,102.94000244140625,48.59000015258789,26.06999969482422
2015-11-25,4.71999979019165,,102.45999908447266,50.90999984741211,25.690000534057617
